chain_id,ula,uhmc_10,uhmc_uniform_19
402,1.0562360577674499,1.1245214719911316,1.108204755436781
403,1.1746166510223417,1.1783542098214654,1.1347184310981566
404,1.344153640348213,1.1053508624580175,1.1446485695301967
405,1.1360695244175798,1.138290470776814,1.1286680592396043
406,1.2513911626311134,1.1262904431164522,1.1176637291605298
407,1.0706182262572246,1.1329231389829697,1.1185995060237273
408,1.10127491448011,1.1101818177621403,1.1428294634750877
409,1.1671005363812672,1.1151583811971675,1.096875061946977
410,1.0561641640094173,1.1344733480967608,1.1473703078429407
411,1.121053138951074,1.1325528033854426,1.14014684427645
412,1.0880590338289224,1.1077014747691096,1.1204951002840495
413,1.1463394421520061,1.1350395039959877,1.1167868568796409
414,1.1204761599130024,1.1125815955538367,1.1162071953737969
415,1.1847698663063346,1.1162311941154426,1.111996497765392
416,1.2277342437726724,1.275919335077714,1.1234931970680053
417,1.1179588713100883,1.1222814092645892,1.1150156375780835
418,1.0783421801037318,1.1392686428844465,1.1144869204244672
419,1.1705364296621825,1.110947467038184,1.1256132370997098
